Cuenta,Tipo de gasto,Gasto
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0017-0000,Uniformes,"3,080.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,119.31"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,481,365.77"
603-0023-0000,Facilidades Administrativas,"52,475.00"
603-0025-0000,No Deducibles Departamento C 112,19.97
603-0001-0000,Sueldos y Salarios Administrativos,"560,427.35"
603-0002-0000,IVA Gastos de Adminstracion,"425,080.16"
603-0003-0000,Impuestos,"1,626,337.75"
603-0004-0000,Depreciaciones y Amortizaciones,"2,684,267.08"
603-0005-0000,Gastos de Oficina,"715,202.72"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,490,314.00"
603-0007-0000,Propaganda y Publicidad,"60,600.00"
603-0008-0000,Honorarios,"104,066.97"
603-0009-0000,Gastos Departamentos Varios,"202,081.71"
603-0010-0000,Mantenimientos Generales,"263,109.58"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,"10,289.24"
603-0013-0000,No Deducibles,"487,383.60"
603-0014-0000,Gasolina,"16,661.73"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"5,462.93"
603-0020-0000,Siniestros (ND),"575,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,467,685.34"
603-0023-0000,Facilidades Administrativas,"684,709.25"
603-0025-0000,No Deducibles Departamento C 112,0
603-0001-0000,Sueldos y Salarios Administrativos,"659,545.72"
603-0002-0000,IVA Gastos de Adminstracion,"652,376.72"
603-0003-0000,Impuestos,"1,613,003.43"
603-0004-0000,Depreciaciones y Amortizaciones,"2,705,509.63"
603-0005-0000,Gastos de Oficina,"257,051.54"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,531,481.50"
603-0007-0000,Propaganda y Publicidad,"61,250.00"
603-0008-0000,Honorarios,"311,131.62"
603-0009-0000,Gastos Departamentos Varios,"47,042.58"
603-0010-0000,Mantenimientos Generales,"107,313.18"
603-0011-0000,Eventos,"212,081.80"
603-0012-0000,Seguros,"750,011.44"
603-0013-0000,No Deducibles,"133,477.31"
603-0014-0000,Gasolina,"23,097.96"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"5,408.45"
603-0020-0000,Siniestros (ND),"642,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,251,718.22"
603-0023-0000,Facilidades Administrativas,"3,859.00"
603-0025-0000,No Deducibles Departamento C 112,-0.03
603-0001-0000,Sueldos y Salarios Administrativos,"646,316.55"
603-0002-0000,IVA Gastos de Adminstracion,"635,463.95"
603-0003-0000,Impuestos,"1,812,741.15"
603-0004-0000,Depreciaciones y Amortizaciones,"3,878,909.29"
603-0005-0000,Gastos de Oficina,"722,858.40"
603-0006-0000,Cuotas y Suscripciones (Empresas),"3,593,819.64"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"167,722.96"
603-0009-0000,Gastos Departamentos Varios,"18,573.78"
603-0010-0000,Mantenimientos Generales,"50,135.17"
603-0011-0000,Eventos,"52,054.67"
603-0012-0000,Seguros,"1,140,856.43"
